text,scenario,label
quiet,audio,4
stop,audio,4
pause for ten seconds,audio,4
pink is all we need,iot,31
make the lighting bit more warm here,iot,31
please set the lighting suitable for reading,iot,31
turn the lights off please,iot,33
time to sleep,iot,33
and the darkness has fallen,iot,34
turn off the light in the bathroom,iot,33
turn the lights off in the bedroom,iot,33
set lights to twenty percent,iot,31
clean the flat,iot,29
it's dirty here make some noise,iot,29
vacuum the house,iot,29
cleaning is good dust is so bad do now your magic clean my carpet,iot,29
hoover the hallway,iot,29
hoover the carpets around,iot,29
i want to listen arijit singh song once again,play,48
check my car is ready,general,27
check my laptop is working,general,27
is the brightness of my screen running low,general,27
i need to have location services on can you check,general,27
check the status of my power usage,general,27
i want the status on my screen brightness,general,27
give me the status on my available memory,general,27
i am not tired i am actually happy,general,27
what's up,general,23
what's the time in australia,datetime,13
tell me the time in moscow,datetime,13
cancel my seven am alarm,alarm,1
remove the alarm set for ten pm,alarm,1
stop seven am alarm,alarm,1
what alarms i have set,alarm,0
please list active alarms,alarm,0
tell me about my alarms,alarm,0
please play yesterday from beatles,play,48
i'd like to hear queen's barcelona,play,48
play me barcelona by queen,play,48
start playing music from favourites,play,48
please play my best music,play,48
play something from recent playlist,play,48
what's the band is playing now,music,43
who's current music's author,music,43
what's that the album is current music from,music,43
hey start vacuum cleaner robot,iot,29
turn cleaner robot on,iot,29
tell me today's date,datetime,13
what date is it today,datetime,13
what's the date is currently,datetime,13
please order some sushi for dinner,takeaway,61
hey i'd like you to order burger,takeaway,61
could you order sushi for tonight dinner,takeaway,61
can i order takeaway dinner from byron's,takeaway,61
play hurts like heaven,play,48
play a song i like,play,48
put on cannibal queen,play,48
play daft punk,play,48
play some david bowie,play,48
whats playing,music,43
what music is this,music,43
tell me the artist of this song,music,43
whats the date,datetime,13
tell me about today,general,27
order a pizza,takeaway,61
order a takeaway,takeaway,61
What's playing,music,43
tell me the name of the song,music,43
which song is that,music,43
play my jazz playlist,play,48
start my jazz playlist,play,48
play my favourite playlist,play,48
i don't like it,music,41
can you play some jazz,play,48
i like to listen to jazz,play,48
play it again please,play,48
change the volume,audio,5
set brightness to fifty percent,iot,31
how are you,general,23
hey hey,general,23
play my rock playlist,play,48
turn on my michael jackson playlist,play,48
play michael jackson from my playlist,play,48
turn on my playlist and play third song in the queue,play,48
play last song from my favourite playlist,play,48
mute volume,audio,4
turn on the plug,iot,37
switch on the plug,iot,37
turn on my plug,iot,37
tell me the time,datetime,13
what time is it,datetime,13
can i order takeaway from spanish place,takeaway,61
delete the alarm i just set,alarm,1
remove the alarm,alarm,1
show me the alarms i set,alarm,0
do i have any alarms,alarm,0
show alarms,alarm,0
please set the lights to green,iot,31
please make the lights reading friendly,iot,31
please make the lights watching friendly,iot,31
and the light began,iot,34
what's date today,datetime,13
what day is today,datetime,13
tell me a date,datetime,13
play music from my rock list,play,48
change the lights into green,iot,31
what is this song,music,43
clean the floor please,iot,29
turn on the rice cooker socket,iot,37
what time is it in las vegas,datetime,13
what time is it in beijing,datetime,13
could you please help me to order some sushi from deliveroo,takeaway,61
do i have an alarm set for morning flight,alarm,0
did i set an alarm to wake up in the morning,alarm,0
are there any alarms,alarm,0
play me some hihop,play,48
i feel like jazz right now how about you,play,48
death metal now,play,48
play a good track from my favourite jazz player,play,48
what music do i usually like after work,music,43
play music from my favorite pianist,play,48
turn the lights blue,iot,31
let's have the lights blue,iot,31
make the lights shine blue,iot,31
good night lights off,iot,33
it's too dark i can't even see my hands,iot,34
what's the time,datetime,13
is it five o'clock already,datetime,13
what's the time in new york,datetime,13
what's the time in tokyo now,datetime,13
is it time in peru,datetime,13
what is the song,music,43
what the singer meant by the title of the song bohemian rhapsody,music,43
who covered the song one more cup of coffee,music,43
what time is it in moscow now,datetime,13
start a vacuum cleaner,iot,29
vacuum the kitchen,iot,29
turn on the vacuum cleaner,iot,29
play a nirvana playlist,play,48
shuffle songs by coldplay,play,48
play chopin,play,48
hey what are you up to,general,27
how are you doing,general,23
morning what's up,general,23
order a pizza from pizza express,takeaway,61
i would like to have a sushi can you order me a lunch,takeaway,61
order a takeaway sandwich and soup from the italian's,takeaway,61
how many days are left in this year,datetime,13
what day is new year's eve this year,datetime,13
what day is memorial day this year,datetime,13
it's too dark here,iot,34
please be quiet for another hour,audio,4
mute,audio,4
do not speak today,audio,4
enable my plug,iot,37
turn on the smart charger,iot,37
one dance,play,48
seven years,play,48
cheap thrills,play,48
silent,audio,4
use shortcut,play,48
